,path_generated,path_test,n_passwords,n_unique_generated_passwords,n_unique_test_passwords,overlap,guessing accuracy,seed,n_train_iter,idioma
0,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,10000,9908,101267,248,0.2449,,10000,Español
1,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,100000,93453,101267,1542,1.5227,,10000,Español
2,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,1000000,787236,101267,6080,6.0039,,10000,Español
3,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,10000000,5612201,101267,14105,13.9285,,10000,Español
4,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Español/10.txt,100000000,11208972,101267,18061,17.835,,10000,Español
5,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,10000,9952,101267,223,0.2202,,20000,Español
6,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,100000,96259,101267,1865,1.8417,,20000,Español
7,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,1000000,848486,101267,8288,8.1843,,20000,Español
8,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,10000000,6399732,101267,20355,20.1003,,20000,Español
9,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/Español/10.txt,100000000,39925931,101267,35471,35.0272,,20000,Español
10,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,10000,9908,9351,0,0.0,,10000,Frances
11,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,100000,93453,9351,0,0.0,,10000,Frances
12,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,1000000,787236,9351,0,0.0,,10000,Frances
13,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,10000000,5612201,9351,5,0.0535,,10000,Frances
14,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/French/10.txt,100000000,11208972,9351,12,0.1283,,10000,Frances
15,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,10000,9952,9351,0,0.0,,20000,Frances
16,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,100000,96259,9351,0,0.0,,20000,Frances
17,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,1000000,848486,9351,1,0.0107,,20000,Frances
18,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,10000000,6399732,9351,14,0.1497,,20000,Frances
19,./output/experimento1/evaluacion/generated_dict_train20000_len100000000.txt,./data/French/10.txt,100000000,39925931,9351,56,0.5989,,20000,Frances
20,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,10000,9908,14557,0,0.0,,10000,Italiano
21,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,100000,93453,14557,2,0.0137,,10000,Italiano
22,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,1000000,787236,14557,34,0.2336,,10000,Italiano
23,./output/experimento1/evaluacion/generated_dict_train10000_len100000000.txt,./data/Italian/10.txt,10000000,5612201,14557,159,1.0923,,10000,Italiano
